Title,Price,Neighborhood,URL,Description
2005 Toyota Tacoma SR5 TRD,"$24,000",Sammamish eastside ,https://seattle.craigslist.org/est/cto/d/sammamish-2005-toyota-tacoma-sr5-trd/7442267190.html,2005 Toyota Tacoma Access Cab V6 SR5 TRD Pickup VIN# 5TEUU42N95Z093470 condition: excellent cylinders: 6 cylinders engine : 4.0L 236.0hp drive: 4wd fuel: gas odometer: 94100 paint color: silver mica...
2007 Ford F-250 F250 F 250 Super Duty LARIAT PICKUP 4D 6 3/4 FT - Down Pymts Sta,"$14,999",+ Car Link Auto Sales eastside ,https://seattle.craigslist.org/est/ctd/d/marysville-2007-ford-250-f250-250-super/7442275738.html,"2007 Ford F-250 F250 F 250 Super Duty LARIAT PICKUP 4D 6 3/4 FT Offered by: Car Link Auto Sales — — $14,999 BULLITT PROOFED 6.0 Diesel lifted crew cab with Lariet Trim! Runs and drives great. A..."
"2013 Subaru Outback 2.5i AWD --1owner, 6speed, Clean title, Nice--","$15,995",kirkland eastside ,https://seattle.craigslist.org/est/ctd/d/kirkland-2013-subaru-outback-25i-awd/7442277531.html,"2013 Subaru Outback 2.5i AWD with only 92k miles on it. Clean title, Clean carfax report. 1owner. Affordable Subaru Wagon!! Options include manual transmission, power windows, power locks, cruise..."
2018 Honda Accord - Financing Available!,"$22,995", eastside ,https://seattle.craigslist.org/est/ctd/d/woodinville-2018-honda-accord-financing/7442278153.html,"This Honda Accord can be yours today! If you have bad credit or no credit, we can help! Call us today at ! 2018 Honda Accord Sport Sedan 4D Price: $22,995.00 Year : 2018 Make: Honda Model: Accord..."
"2013 Lexus LX570 4WD --Navi, DVD, Loaded, Clean title--","$39,995",kirkland eastside ,https://seattle.craigslist.org/est/ctd/d/kirkland-2013-lexus-lx570-4wd-navi-dvd/7442281775.html,"2013 Lexus LX570 4WD with only 120k miles on it. Clean title. Loaded up with all the extras including navigation, backup camera, front &amp; side camera's, DVD rear seat entertainment, roof rack,..."
$268/mo - 2009 BMW X5 X 5 X-5 xDrive30i xDrive 30 i xDrive-30-i Sport,"$12,999",JandA AUTO SALES eastside ,https://seattle.craigslist.org/est/ctd/d/bellevue-268-mo-bmw-x5-5-5-xdrive30i/7442301147.html,"$268/mo - 2009 BMW X5 X 5 X-5 xDrive30i xDrive 30 i xDrive-30-i Sport Utility 4D 4 D 4-D 90,699 mi. - - 4D SUV - 6 Cyl - AWD: All Wheel Drive - VIN# 5UXFE43519L272321 - STK# 272321 J&amp;A AUTO..."
2003 Nissan Xterra SE SPORT UTILITY 4D - Down Pymts Starting at $499,"$3,999",+ Car Link Auto Sales eastside ,https://seattle.craigslist.org/est/ctd/d/marysville-2003-nissan-xterra-se-sport/7442301203.html,"2003 Nissan Xterra SE SPORT UTILITY 4D Offered by: Car Link Auto Sales — — $3,999 Clean budget friendly RWD SUV ! runs and drives great. Don&#39;t forget to ask about our 1st time buyer program A..."
"2004 Toyota 4runner SR5 4WD V6 --leather, Clean title, Affordable--","$15,995",kirkland eastside ,https://seattle.craigslist.org/est/ctd/d/kirkland-2004-toyota-4runner-sr5-4wd-v6/7442337753.html,"2004 Toyota 4runner SR5 4WD V6 with only 145k miles on it. Clean title, clean carfax report. Nicely equipped with leather seats, running boards, towing pkg, roof rack, keyless entry, power sliding..."
2014 Ford C-Max hybrid,"$8,500",Bothell eastside ,https://seattle.craigslist.org/est/cto/d/mill-creek-2014-ford-max-hybrid/7442322624.html,"Great gas mileage, 42 city/38 hwy Quiet and roomy Tons of options Well maintained Best to come see her for yourself if you aren't familiar with this model $8500 OBO ""A very reliable hybrid - The..."
"2018 Ford F-150 F150 XLT Supercab, Ecoboost","$30,000",North Bend WA eastside ,https://seattle.craigslist.org/est/cto/d/north-bend-2018-ford-150-f150-xlt/7442309598.html,"2018 Ford F-150 XLT 95,200 miles, 3.5 EcoBoost, 470# torque, 375 HP, 10 speed, 4 wheel drive, SuperCab, trailering package, GREAT SHAPE. Original older male owner. All service receipts &amp; carfax,..."
2007 Ford Explorer Eddie Bauer 4dr SUV 4WD (V6) - Down Pymts Starting at $499,"$5,999",+ Car Link Auto Sales eastside ,https://seattle.craigslist.org/est/ctd/d/marysville-2007-ford-explorer-eddie/7442322954.html,"2007 Ford Explorer Eddie Bauer 4dr SUV 4WD (V6) Offered by: Car Link Auto Sales — — $5,999 4.0 V6 AWD auto 3rd row and much more! Don&#39;t forget to ask about our 1st time buyer program A dealer..."
2018 Chevrolet Colorado Crew Cab - Financing Available!,"$34,995", eastside ,https://seattle.craigslist.org/est/ctd/d/woodinville-2018-chevrolet-colorado/7442336355.html,"This Chevrolet Colorado Crew Cab can be yours today! If you have bad credit or no credit, we can help! Call us today at ! 2018 Chevrolet Colorado Crew Cab ZR2 Pickup 4D 5 ft Price: $34,995.00 Year :..."
Porsche Cayenne,"$21,000",Mercer Island eastside ,https://seattle.craigslist.org/est/cto/d/seattle-porsche-cayenne/7442340079.html,"Listed is a very clean 2011 Porsche Cayenne. It's been impeccably maintained locally with a recent major service where EVERYTHING was done and it's ready to go. $61,905 new. This model has the V6..."
"2011 Toyota Tundra CrewMax Limited 4WD --Navi, DVD, Loaded, Sunroof--","$28,995",kirkland eastside ,https://seattle.craigslist.org/est/ctd/d/kirkland-2011-toyota-tundra-crewmax/7442340764.html,"2011 Toyota Tundra CrewMax Limited 4WD 5.7L V8 with only 134k miles on it. Clean title, Clean carfax report. Loaded Up Tundra!! Equipment includes navigation, backup camera, bluetooth, heated..."
2004 Ford  Escape,$800,Bellevue eastside ,https://seattle.craigslist.org/est/cto/d/bellevue-2004-ford-escape/7442364628.html,SUV
2021 Tesla Model 3 Long Range All Wheel Drive,"$56,000",Twisp eastside ,https://seattle.craigslist.org/est/cto/d/twisp-2021-tesla-model-long-range-all/7442379319.html,Like new extended range dual motor 2021 Tesla Model 3. Pearl white exterior and vegan black leather interior. No pets and no smoking. Includes the Tesla all-weather interior mats and rear trunk...
1992 Jaguar XJ-Series XJ6 Vanden Plas 4dr Sedan - Down Pymts Starting at $499,"$2,995",+ Car Link Auto Sales eastside ,https://seattle.craigslist.org/est/ctd/d/marysville-1992-jaguar-xj-series-xj6/7442340843.html,"1992 Jaguar XJ-Series XJ6 Vanden Plas 4dr Sedan Offered by: Car Link Auto Sales — — $2,995 Extremely LOW Miles! Vanden Plas Trim runs and drives amazing. Own one of the most elegant cars ever made..."
1988 Jeep Wrangler,"$8,000",Snoqualmie eastside ,https://seattle.craigslist.org/est/cto/d/preston-1988-jeep-wrangler/7442381375.html,1988 Jeep Wrangler. Complete rehab on body and interior. All rust removed and painted to flat black inside and out. Floor upgraded to bed liner. all new interior seats. Engine is second engine (6...
"2011 Volkswagen Golf TDI 4Door Hatchback --Clean title, Sporty, Auto--","$13,995",kirkland eastside ,https://seattle.craigslist.org/est/ctd/d/kirkland-2011-volkswagen-golf-tdi-4door/7442345849.html,"2011 Volkswagen Golf TDI with only 106k miles on it. Clean title. Sporty hatchback!! Nice options including heated seats, sunroof, automatic transmission, power windows, power locks, cruise control,..."
2020 Chevrolet Silverado 1500 Crew Cab - Financing Available!,"$44,995", eastside ,https://seattle.craigslist.org/est/ctd/d/woodinville-2020-chevrolet-silverado/7442381974.html,"This Chevrolet Silverado 1500 Crew Cab can be yours today! If you have bad credit or no credit, we can help! Call us today at ! 2020 Chevrolet Silverado 1500 Crew Cab RST Pickup 4D 5 3/4 ft Price:..."
Tacoma TRD Pro,"$65,000", eastside ,https://seattle.craigslist.org/est/cto/d/redmond-tacoma-trd-pro/7442390909.html,2020 Army Green Toyota Tacoma TRD Pro fully loaded with following options: Toyota/Factory: - Premium sound - Leather heated front seats - Power Driver seat - Power Door locks - Alarm - Door Sill...
2018 Toyota 4Runner Limited Sport Utility 4D suv White - FINANCE,"$44,590",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2018-toyota-4runner-limited/7442418235.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2017 Caddy Cadillac XT5 Luxury Sport Utility 4D suv Red - FINANCE,"$30,990",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2017-caddy-cadillac-xt5-luxury/7442418246.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2019 Jeep Wrangler Unlimited Sport SUV 4D suv Gray - FINANCE ONLINE,"$37,990",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2019-jeep-wrangler-unlimited/7442418241.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2012 MINI Countryman Cooper S Hatchback 4D hatchback Green - FINANCE,"$16,590",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2012-mini-countryman-cooper/7442418262.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2015 Lexus RX RX 350 F Sport SUV 4D suv Red - FINANCE ONLINE,"$29,590",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2015-lexus-rx-rx-350-sport-suv/7442418270.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2015 Chevy Chevrolet Tahoe LT Sport Utility 4D suv Gray - FINANCE,"$38,990",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2015-chevy-chevrolet-tahoe-lt/7442418296.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2018 Nissan Titan Crew Cab SV Pickup 4D 5 1/2 ft pickup Red - FINANCE,"$35,590",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2018-nissan-titan-crew-cab-sv/7442425580.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2018 Kia Soul Wagon 4D wagon White - FINANCE ONLINE,"$20,990",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2018-kia-soul-wagon-4d-wagon/7442426025.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2015 Lexus GS GS 350 Sedan 4D sedan Blue - FINANCE ONLINE,"$31,590",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2015-lexus-gs-gs-350-sedan-4d/7442426024.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2016 Jeep Wrangler Unlimited Sport SUV 4D suv Gray - FINANCE ONLINE,"$34,990",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2016-jeep-wrangler-unlimited/7442426502.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2002 Honda Accord 3.0L V6 EX - LOW MILES - FULLY LOADED,"$4,300",Bellevue eastside ,https://seattle.craigslist.org/est/cto/d/bellevue-2002-honda-accord-30l-v6-ex/7442434302.html,"(PENDING SALE) This sporty Accord coupe is a kick to drive with the VTEC 3.0 Liter V6 Engine. ALL options, including Traction Control, 6-disc CD changer, Leather Seats, Power Drivers seat, Moon..."
2018 Toyota Tacoma Access Cab SR5 Pickup 4D 6 ft pickup Blue - FINANCE,"$34,990",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2018-toyota-tacoma-access-cab/7442425584.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2017 BMW X5 xDrive35i Sport Utility 4D suv White - FINANCE ONLINE,"$39,990",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2017-bmw-x5-xdrive35i-sport/7442426573.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2021 Tesla Model 3 Standard Range Plus Sedan 4D sedan White - FINANCE,"$50,590",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2021-tesla-model-standard-range/7442433678.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2020 Chevy Chevrolet Blazer 1LT Sport Utility 4D suv White - FINANCE,"$33,590",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2020-chevy-chevrolet-blazer-1lt/7442435564.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2015 Ford Explorer XLT Sport Utility 4D suv White - FINANCE ONLINE,"$25,590",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2015-ford-explorer-xlt-sport/7442435556.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2014 Lexus IS IS 250 Sedan 4D sedan Silver - FINANCE ONLINE,"$26,990",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2014-lexus-is-is-250-sedan-4d/7442434380.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2015 Dodge Challenger R/T Coupe 2D coupe White - FINANCE ONLINE,"$30,990",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2015-dodge-challenger-t-coupe/7442435566.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2017 Chevy Chevrolet Volt LT Hatchback 4D hatchback GRAY - FINANCE,"$20,990",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2017-chevy-chevrolet-volt-lt/7442445491.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2018 BMW X1 xDrive28i Sport Utility 4D suv Gray - FINANCE ONLINE,"$32,990",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2018-bmw-x1-xdrive28i-sport/7442434995.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2021 Lexus RX RX 350 Sport Utility 4D suv Black - FINANCE ONLINE,"$52,990",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2021-lexus-rx-rx-350-sport/7442445528.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2013 Mercedes-Benz E-Class E 350 Convertible 2D Convertible Silver -,"$25,590",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2013-mercedes-benz-class-350/7442445540.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
